# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
dai er 	戴尔	c=1 d=1 t=21433
dai fu 	代付	c=1 d=2.04871e-26 t=17463
dai fu 	待复	c=0 d=0.1 t=77164
dai fu he 	待复核	c=1 d=1 t=77165
dai fu kuan 	代付款	c=0 d=0.00104099 t=17463
dai fu que ren 	带付确认	c=1 d=2.02833e-26 t=17463
dai ge 	戴个	c=1 d=4.65071e-14 t=17463
dai hao 	带好	c=1 d=1 t=39117
dai hao 	戴好	c=1 d=1 t=75031
dai huan 	代换	c=0 d=0.1 t=53301
dai huan cheng 	代换成	c=1 d=1 t=53302
dai hui 	带回	c=2 d=3.68516e-19 t=17463
dai hui 	待会	c=1 d=1 t=75150
dai hui lai 	带回来	c=2 d=0.479505 t=17463
dai ji 	待机	c=1 d=0.867206 t=49574
dai jiao 	代缴	c=2 d=1.98511 t=19092
dai kuan 	贷款	c=11 d=1 t=40833
dai kuan guan li 	贷款管理	c=1 d=0.0706512 t=17463
dai kuan jiu fen 	贷款纠纷	c=0 d=8.97513e-24 t=17463
dai kuan ka 	贷款卡	c=0 d=0.1 t=45155
dai kuan ka hao ma 	贷款卡号码	c=1 d=1 t=45156
dai lai 	带来	c=5 d=1 t=70214
dai lai le 	带来了	c=1 d=1 t=53190
dai li 	代理	c=116 d=1.97531 t=74394
dai li de 	代理的	c=4 d=1 t=74335
dai li fei 	代理费	c=0 d=0.0219808 t=17463
dai li lei 	代理类	c=2 d=1.48919 t=69830
dai li mo shi 	代理模式	c=1 d=1 t=67800
dai li wai 	代理外	c=1 d=1 t=70162
dai li zhe 	代理者	c=2 d=1.9802 t=69755
dai lia 	带俩	c=1 d=1 t=74334
dai lian 	代练	c=7 d=4.25671 t=70217
dai lian zhe 	代练者	c=1 d=1 t=69973
dai ma 	代码	c=140 d=1.00147 t=78859
dai ma kuai 	代码块	c=12 d=2.48314 t=63984
dai ma liang 	代码量	c=2 d=1.99501 t=17663
dai mai 	代买	c=1 d=0.0300468 t=17463
dai mi ma 	带密码	c=1 d=1.35635e-27 t=17463
dai ni 	带你	c=4 d=1 t=50021
dai ni er gui 	待你而归	c=1 d=1 t=40199
dai sha qu ne 	带啥去呢	c=1 d=1 t=19760
dai shang 	带上	c=1 d=0.1 t=20024
dai shuo 	待说	c=0 d=5.13295e-09 t=17463
dai shuo ming 	待说明	c=1 d=5.15868e-08 t=17463
dai ti 	代替	c=2 d=1 t=73983
dai ti le 	代替了	c=1 d=1 t=58219
dai wa 	带娃	c=2 d=1.99005 t=23508
dai wo 	带我	c=1 d=0.0031354 t=17463
dai yong 	代用	c=1 d=9.37706e-09 t=17463
dai you 	带有	c=7 d=1 t=77263
dai yu 	待遇	c=1 d=1 t=25010
dai zai jia 	待在家	c=0 d=0.1 t=19679
dai zai jia a 	待在家啊	c=1 d=1 t=19680
dai zhe 	带着	c=3 d=1 t=19652
dai zhe 	待着	c=1 d=1 t=47363
dai zhe 	戴着	c=4 d=1.956 t=41418
dai zhi 	代之	c=1 d=1 t=19332
dai zi 	袋子	c=1 d=1 t=44823
dai zou 	带走	c=1 d=1 t=66547
dan 	但	c=21 d=0.1 t=77946
dan 	单	c=9 d=1.22761 t=76732
dan 	淡	c=1 d=1.0116e-18 t=17463
dan bao 	担保	c=4 d=0.100003 t=45403
dan bao ti gong 	担保提供	c=1 d=1 t=45404
dan bao zhe 	担保者	c=1 d=1 t=35771
dan bao zhe 	担保这	c=1 d=1 t=35770
dan bu 	但不	c=1 d=1 t=21144
dan ci 	单词	c=7 d=1.97046 t=74716
dan dang 	担当	c=5 d=1 t=67967
dan dang zhe 	担当者	c=3 d=1.04929 t=41286
dan dian 	单点	c=2 d=1 t=75258
dan du 	单独	c=8 d=1 t=71209
dan gao 	蛋糕	c=1 d=1 t=75960
dan ge 	单个	c=2 d=1 t=60460
dan hao 	单号	c=1 d=1 t=75678
dan huan shi 	但还是	c=1 d=1.38474e-06 t=17463
dan ji 	单机	c=2 d=4.6446e-24 t=17463
dan ji cheng 	单继承	c=2 d=1 t=63859
dan jia 	单价	c=2 d=1.3027 t=76417
dan jian 	单键	c=1 d=1 t=65717
dan jian 	单间	c=1 d=1 t=36115
dan ju 	单据	c=5 d=3.95746 t=76821
dan ju hao 	单据号	c=1 d=1 t=76783
dan li 	单例	c=17 d=1.31983 t=74754
dan li 	单利	c=7 d=2.91412 t=54498
dan li mo shi 	单例模式	c=10 d=3.07709 t=55420
dan li she ji 	单利设计	c=2 d=1.0305 t=55070
dan mu 	弹幕	c=3 d=1 t=19830
dan ni 	但你	c=1 d=0.726149 t=17463
dan ni er 	丹尼尔	c=0 d=0.1 t=61204
dan ni er guan li 	丹尼尔管理	c=3 d=1.09348 t=70457
dan pin 	单品	c=6 d=2.5782 t=62644
dan qian ti 	但前提	c=1 d=1.72843e-26 t=17463
dan shi 	但是	c=24 d=1.01128 t=70122
dan shi li 	单实例	c=7 d=1.89795 t=74409
dan shi li de 	单实例的	c=1 d=1 t=74383
dan ti 	单体	c=1 d=1 t=23457
dan tiao 	单条	c=6 d=0.1 t=65485
dan tiao zhi ling 	单条指令	c=1 d=1 t=65486
dan wei 	单位	c=19 d=1.77639 t=76687
dan wei shuo ming 	单位说明	c=1 d=1 t=69471
dan wo 	但我	c=1 d=3.18549e-13 t=17463
dan xian cheng 	单线程	c=7 d=2.2686 t=65525
dan xiang 	单项	c=0 d=0.1 t=44967
dan xiang mu 	单项目	c=3 d=2.50107 t=45032
dan xuan kuang 	单选框	c=4 d=1.99005 t=39608
dan yi 	单一	c=5 d=1 t=61690
dan yi ge 	但一个	c=1 d=1 t=77947
dan yi zhi ze 	单一职责	c=3 d=1.86502 t=56585
dan yin hao 	单引号	c=3 d=1 t=60121
dan yuan 	但愿	c=2 d=1 t=64185
dan yuan 	单元	c=2 d=1 t=68620
dan yuan ge 	单元格	c=7 d=1 t=68174
dan zhe 	单者	c=0 d=8.07091e-10 t=17463
dan zhe ba 	单者吧	c=1 d=8.11136e-09 t=17463
dan zhuang 	淡妆	c=1 d=3.61025e-15 t=17463
dan zi 	单子	c=0 d=0.1 t=55718
dan zi duan 	单字段	c=2 d=1.95123 t=31207
dan zi jie 	单子节	c=1 d=1 t=55719
dang 	当	c=98 d=1 t=80026
dang ban lang 	当伴郎	c=1 d=0.000160054 t=17463
dang biao 	当表	c=1 d=1 t=19831
dang bing 	当兵	c=6 d=1.91393 t=24988
dang cheng 	当成	c=1 d=1 t=42228
dang di 	当地	c=1 d=1 t=17523
dang di de 	当地的	c=0 d=0.1 t=18483
dang dian deng pao 	当电灯泡	c=1 d=0.000152248 t=17463
dang huo 	党祸	c=0 d=1.2465e-05 t=17463
dang huo qu dao 	党祸去到	c=1 d=0.000125275 t=17463
dang ji ba 	当几把	c=1 d=0.00319873 t=17463
dang jie kou 	当接口	c=1 d=1 t=19764
dang ju 	当局	c=1 d=1 t=45098
dang ni 	当你	c=1 d=1 t=66003
dang qi 	当期	c=0 d=0.1 t=24856
dang qi na 	当期那	c=1 d=1 t=24857
dang qian 	当前	c=114 d=2.10067 t=74521
dang qian hang 	当前行	c=1 d=1 t=18022
dang qian ku 	当前库	c=4 d=2.85776 t=65236
dang qian mu lu 	当前目录	c=1 d=1 t=18315
dang quan 	当权	c=1 d=1 t=73763
dang ran 	当然	c=11 d=1 t=75436
dang shi 	当时	c=11 d=1.83489 t=79898
dang tian 	当天	c=3 d=1.06329 t=17849
dang tian de 	当天的	c=1 d=3.43301e-11 t=17463
dang wo 	当我	c=3 d=1 t=62359
dang wo men 	当我们	c=1 d=1 t=55492
dang yan 	当眼	c=0 d=0.1 t=78135
dang yan jian ji 	当眼剪辑	c=1 d=1 t=78136
dang zhong 	当中	c=1 d=1 t=66695
dang zhuang tai 	当状态	c=1 d=1 t=36751
dao 	刀	c=6 d=1 t=21501
dao 	到	c=190 d=0.726213 t=79895
dao 	盗	c=0 d=2.39179e-25 t=17463
dao 	道	c=1 d=1.05123 t=23120
dao ban 	盗版	c=1 d=1 t=38300
dao chong 	倒冲	c=4 d=2.94989 t=76838
dao chu 	导出	c=124 d=1.04813 t=76875
dao dan 	到单	c=1 d=0.0342181 t=17463
dao dan li mo shi 	到单例模式	c=1 d=1 t=54443
dao de 	到的	c=4 d=1 t=34502
dao de 	道德	c=1 d=5.35444e-05 t=17463
dao di 	到底	c=3 d=1 t=23242
dao di fang 	到地方	c=1 d=1 t=16536
dao fang zi 	到房子	c=1 d=0.00216573 t=17463
dao gong si 	到公司	c=1 d=1 t=41481
dao hang 	导航	c=1 d=1 t=37256
dao hang lan 	导航栏	c=1 d=2.24363e-07 t=17463
dao huo 	到货	c=3 d=1 t=76257
dao jia 	到家	c=3 d=1 t=50094
dao jie shu 	到结束	c=1 d=1 t=65466
dao ju 	道具	c=1 d=1 t=28727
dao le 	到了	c=8 d=1.00013 t=78413
dao le 	盗了	c=1 d=1 t=51179
dao li 	道理	c=1 d=1 t=40228
dao lu shang 	道路上	c=0 d=2.62747e-13 t=17463
dao men 	道门	c=1 d=1 t=49365
dao meng kong jian 	盗梦空间	c=1 d=1 t=49366
dao mou yi ge 	到某一个	c=1 d=1 t=49649
dao mu qian 	到目前	c=1 d=1.54255e-11 t=17463
dao na 	到哪	c=3 d=1 t=79983
dao neng bu neng 	到能不能	c=1 d=1 t=22327
dao ni men 	到你们	c=1 d=1 t=41992
dao qi ri 	到期日	c=1 d=1 t=42211
dao qie an 	盗窃案	c=0 d=9.20233e-24 t=17463
dao ru 	导入	c=41 d=2.08053 t=76454
dao ru de 	到入的	c=1 d=7.11626e-28 t=17463
dao shang hai 	到上海	c=0 d=0.1 t=49112
dao shi 	倒是	c=5 d=0.1 t=47562
dao shi hou 	到时候	c=29 d=1.93707 t=78716
dao shi hou bu shi 	到时候不是	c=1 d=1 t=27416
dao shu 	倒数	c=1 d=1 t=68822
dao tou 	到头	c=1 d=1 t=25414
dao tou lai 	到头来	c=1 d=1 t=17783
dao tu 	倒吐	c=1 d=0.752014 t=17463
dao tu 	导图	c=3 d=1.98511 t=21960
dao wo 	到我	c=1 d=1.75246e-12 t=17463
dao wo tu 	盗我图	c=1 d=2.40378e-24 t=17463
dao xiao 	到校	c=1 d=1 t=42704
dao yan 	导演	c=1 d=1 t=78138
dao yao hua lu 	刀耀华路	c=1 d=2.00746e-22 t=17463
dao yi ban 	到一半	c=1 d=1 t=18642
dao zhang 	到帐	c=2 d=1 t=28730
dao zhe li 	到这里	c=1 d=1 t=79775
dao zhi 	倒置	c=5 d=1.51856 t=53259
dao zhi 	导致	c=11 d=1 t=74572
de 	地	c=8 d=1.01716 t=68544
de 	得	c=8 d=1 t=74339
de 	的	c=3680 d=11.9135 t=80035
de a 	的阿	c=1 d=1 t=27266
de ban ben 	的版本	c=1 d=1.3552e-17 t=17463
de bu chang shi 	得不偿失	c=1 d=1 t=64095
de dao 	得到	c=13 d=1.00003 t=68902
de dui de dao dan 	地对地导弹	c=0 d=0.114515 t=18869
de duo 	得多	c=0 d=0.1 t=38674
de duo qian 	得多钱	c=1 d=1 t=38675
de e 	德峨	c=1 d=1 t=79693
de fa xing 	的发行	c=1 d=1 t=36188
de fang fa 	的方法	c=1 d=1 t=62153
de fei yong 	的费用	c=2 d=0.000378488 t=17463
de fen 	得分	c=1 d=1 t=66893
de fen shen fa shu 	的分身乏术	c=1 d=1.26663e-16 t=17463
de fen shi an dui fang 	的分尸案对方	c=1 d=1.21697e-16 t=17463
de fen shou duan 	得分手段	c=0 d=0.000182715 t=17463
de fen shou duan lu fang ji 	得分手段录放机	c=1 d=0.0018363 t=17463
de gong neng 	的功能	c=1 d=1.08141e-09 t=17463
de guo 	得过	c=1 d=1 t=77322
de hao 	的好	c=1 d=1 t=77500
de he xin 	的核心	c=1 d=1 t=59358
de hua 	的话	c=2 d=1 t=76511
de ji fen 	的积分	c=0 d=1.66988e-28 t=17463
de jie kou 	的接口	c=1 d=1 t=56479
de jing tai 	的静态	c=1 d=1 t=63904
de kan fa 	的看法	c=0 d=5.56993e-29 t=17463
de kan fa jiu shi ai liang di fen ju a 	的看法就是爱两地分居啊	c=1 d=5.59785e-28 t=17463
de kong jian 	的空间	c=1 d=0.135973 t=49373
de ku 	的库	c=1 d=1 t=78207
de lai wen 	德莱文	c=1 d=1 t=39974
de le 	得了	c=1 d=1 t=22448
de liang ge 	的两个	c=1 d=1 t=57965
de lu jing 	的路径	c=1 d=1 t=29127
de luo ji 	的逻辑	c=2 d=1 t=57554
de ma 	的吗	c=1 d=1.86178e-18 t=17463
de ma 	的嘛	c=1 d=1 t=21566
de me 	的么	c=34 d=1.39017 t=79639
de mi ma 	的密码	c=1 d=0.136014 t=17463
de na 	的那	c=0 d=0.1 t=56559
de na yi 	的那燚	c=1 d=1 t=56560
de nei bu 	的内部	c=1 d=1 t=57801
de nei rong 	的内容	c=3 d=1 t=74200
de pai zi 	的牌子	c=1 d=1.20465e-14 t=17463
de qi wei 	的气味	c=0 d=9.29482e-24 t=17463
de qian 	的钱	c=1 d=1 t=35060
de qing qiu 	的请求	c=1 d=1 t=72229
de qu bie 	的区别	c=1 d=1 t=68142
de ren 	的人	c=1 d=1 t=20876
de ren gong 	的人工	c=0 d=0.0010358 t=17463
de ren wu 	的任务	c=2 d=0.927743 t=17463
de sa te 	的萨特	c=1 d=1 t=17447
de shang 	的上	c=0 d=0.1 t=26632
de shi 	得是	c=2 d=1 t=33432
de shi pin 	的视频	c=1 d=1 t=20969
de wei yi 	的唯一	c=1 d=1 t=66849
de wen jian 	的文件	c=1 d=7.01031e-28 t=17463
de ya 	的呀	c=1 d=1 t=75431
de yi fu 	的衣服	c=1 d=1.83344e-14 t=17463
de yong 	的用	c=1 d=4.26892e-16 t=17463
de zhi 	得知	c=1 d=1 t=24904
de zhi 	的值	c=4 d=1 t=71341
de zhou lu 	德州路	c=1 d=2.79669e-11 t=17463
de zuo yong 	的作用	c=1 d=1 t=66841
dei 	得	c=0 d=0.1 t=28005
deng 	等	c=75 d=2.65808 t=78412
deng bu deng 	等不等	c=1 d=1 t=39710
deng chang 	登场	c=0 d=0.1 t=69393
deng chang jian 	登场键	c=1 d=1 t=69394
deng dai 	等待	c=3 d=1 t=74662
deng dao 	等到	c=2 d=1 t=67469
deng deng 	等等	c=7 d=1 t=78371
deng deng wo 	等等我	c=1 d=1.24413e-11 t=17463
deng hao 	等号	c=2 d=1 t=63156
deng hui 	灯会	c=1 d=1.17307e-25 t=17463
deng hui 	等会	c=22 d=1 t=76622
deng hui qu le 	等回去了	c=1 d=1 t=21172
deng ji 	登记	c=13 d=0.283272 t=51965
deng ji 	等级	c=17 d=4.72412 t=58522
deng ji ri 	登记日	c=4 d=1.80719 t=30218
deng jia 	等价	c=1 d=1 t=66797
deng le 	登了	c=1 d=2.60939e-19 t=17463
deng lu 	登录	c=82 d=2.5931 t=77894
deng lu kai fa jian she da lu kuai 	登录开发建设大陆块	c=1 d=0.491644 t=17463
deng ni 	等你	c=7 d=1 t=50506
deng sha 	等啥	c=1 d=5.70511e-16 t=17463
deng wo 	等我	c=10 d=1.74088 t=40409
deng yi xia 	等一下	c=2 d=6.2107e-19 t=17463
deng yu 	等于	c=10 d=1.00013 t=68512
deng zhe 	等着	c=1 d=1 t=76264
deng zi 	凳子	c=1 d=1 t=24098
di 	低	c=7 d=1 t=66932
di 	地	c=14 d=0.27045 t=54214
di 	底	c=2 d=1.20089 t=66085
di 	弟	c=1 d=6.49382e-10 t=17463
di 	第	c=16 d=1 t=74590
di a 	低啊	c=1 d=0.1 t=74395
di a li 	第阿里	c=3 d=1 t=74393
di a yong 	低啊用	c=2 d=1.00016 t=76142
di ai li 	第爱里	c=1 d=1 t=69762
di ang 	低昂	c=0 d=0.1 t=58649
di bu 	底部	c=1 d=1 t=20500
di ceng 	低层	c=5 d=1.4245 t=66051
di ceng 	底层	c=2 d=1.70469 t=66904
di deng dong wu 	低等动物	c=0 d=0.1 t=18869
di di 	弟弟	c=3 d=1.93239 t=38287
di di 	滴滴	c=2 d=1.90484 t=79892
di dian 	地点	c=1 d=1 t=75551
di er 	第二	c=7 d=1 t=78683
di er bu 	第二部	c=1 d=1 t=73606
di er ceng 	第二层	c=1 d=1 t=54179
di er ci 	第二次	c=1 d=1 t=77332
di er ge 	第二个	c=7 d=1 t=78686
di er hang 	低二行	c=2 d=1 t=74588
di er ka cao 	第二卡槽	c=1 d=1 t=17490
di er ma 	第二码	c=1 d=0.431711 t=17463
di er tian 	第二天	c=1 d=1 t=27429
di er wei 	第二位	c=1 d=1 t=68823
di er zhong 	第二种	c=1 d=1 t=73122
di fang 	地方	c=34 d=1.37385 t=79225
di fang sa shui da fa 	地方洒水打发	c=1 d=0.0178634 t=17463
di gong an 	狄公案	c=0 d=0.1 t=31090
di gui 	递归	c=11 d=1 t=69870
di ji 	地基	c=1 d=1 t=57490
di ji 	第几	c=0 d=0.1 t=32816
di ji duan 	第几段	c=1 d=1 t=32817
di li 	地理	c=3 d=1.01926 t=70313
di li 	砥砺	c=1 d=1 t=69363
di li ke 	地理课	c=0 d=5.48701e-29 t=17463
di li ke sa jiao 	地理课撒娇	c=1 d=5.51451e-28 t=17463
di li qian xing 	砥砺前行	c=1 d=5.35535e-07 t=17463
di lia 	弟俩	c=1 d=1 t=69584
di liao 	底料	c=1 d=1 t=17527
di liu ban 	第六版	c=1 d=1 t=45604
di liu ci 	第六次	c=2 d=1.99005 t=49748
di mi te 	迪米特	c=12 d=1 t=67790
di mian 	底面	c=1 d=1 t=42013
di ou he 	低耦合	c=1 d=1 t=56682
di qu 	地区	c=2 d=1 t=76877
di san 	第三	c=0 d=0.1 t=33097
di san ban 	第三版	c=1 d=5.3359e-23 t=17463
di san bu 	第三步	c=1 d=1 t=73640
di san ceng 	地三层	c=1 d=1 t=54197
di san ci 	第三次	c=1 d=1 t=49600
di san fang 	第三方	c=3 d=1 t=61326
di san fang lei 	第三方类	c=0 d=0.1 t=24984
di san fang lei ku 	第三方类库	c=0 d=0.1 t=51946
di san ge 	第三个	c=2 d=1 t=60163
di san hang 	第三行	c=1 d=1 t=33098
di san zhong 	第三种	c=2 d=1 t=62754
di shui 	滴水	c=1 d=1 t=26827
di shui hu 	滴水湖	c=2 d=1 t=39957
di si 	第四	c=1 d=0.1 t=54891
di si ceng 	地四层	c=1 d=1 t=54215
di si ci 	第四次	c=1 d=1 t=49615
di si hang 	第四行	c=2 d=1.99005 t=33102
di tie 	地铁	c=2 d=1.49659 t=79269
di tu 	地图	c=8 d=1 t=69377
di wei 	低位	c=1 d=1 t=63101
di wu 	第五	c=0 d=0.1 t=54240
di wu ban 	第五版	c=3 d=1 t=79091
di wu ceng 	第五层	c=1 d=1 t=54241
di wu ci 	第五次	c=1 d=1 t=49742
di yi 	第一	c=9 d=2.98506 t=71949
di yi ban 	第一版	c=1 d=0.110803 t=17463
di yi bu 	第一步	c=3 d=1 t=73604
di yi cai 	第一彩	c=1 d=1 t=42759
di yi ceng 	地一层	c=1 d=1 t=54168
di yi ceng 	第一层	c=1 d=1 t=54169
di yi ci 	第一次	c=7 d=1.00002 t=70870
di yi duan 	第一段	c=2 d=1.99501 t=32830
di yi ge 	第一个	c=22 d=1.84366 t=77409
di yi ge zi fu 	第一个字符	c=1 d=1 t=33178
di yi ge zi mu 	第一个字母	c=1 d=1 t=33246
di yi hang 	第一行	c=13 d=1 t=74585
di yi kuai 	第一块	c=1 d=1 t=44233
di yi pi 	第一批	c=2 d=1.1764 t=56135
di yi ping 	第一屏	c=1 d=1 t=51570
di yi qi 	第一期	c=1 d=1 t=22044
di yi zhong 	第一种	c=2 d=1 t=73120
di yi zu 	第一组	c=1 d=1 t=43885
di yu 	地域	c=2 d=0.1 t=65334
di yu feng xian 	地域风险	c=3 d=1.01073 t=45485
di zeng 	递增	c=1 d=1 t=66733
di zhen 	地震	c=1 d=1 t=46622
di zhen ju 	地震局	c=1 d=1 t=46620
di zhi 	地址	c=59 d=0.136507 t=79626
di zhi lan 	地址栏	c=1 d=1 t=79395
di zhi lei xing 	地址类型	c=1 d=1 t=44638
di zuo 	底座	c=1 d=1 t=73187
dia 	嗲	c=0 d=4.94782e-18 t=17463
dian 	店	c=6 d=1 t=49141
dian 	点	c=41 d=1.00017 t=78254
dian 	电	c=2 d=1 t=39374
dian ban 	点半	c=3 d=1.16845e-08 t=17463
dian bao 	电报	c=7 d=4.6682 t=25134
dian chi 	电池	c=3 d=1 t=18209
dian de 	点的	c=2 d=2.05583e-08 t=17463
dian deng pao 	电灯泡	c=0 d=1.51489e-05 t=17463
dian dong che 	电动车	c=1 d=1.10125e-24 t=17463
dian fan guo 	电饭锅	c=1 d=1.24582e-27 t=17463
dian fen lei 	淀粉类	c=0 d=0.0208045 t=17463
dian fu 	碘伏	c=1 d=1 t=21696
dian ge 	点个	c=4 d=1 t=35188
dian hu 	电弧	c=1 d=1 t=43669
dian hua 	电话	c=11 d=1.00162 t=43746
dian hui 	电汇	c=35 d=1.01251 t=28583
dian ji 	点击	c=15 d=1.67086 t=76136
dian ji shi jian 	点击事件	c=2 d=1.86502 t=75679
dian lan fu jian 	电缆附件	c=1 d=1 t=48713
dian li 	店里	c=5 d=1 t=54695
dian li 	电力	c=1 d=1 t=19797
dian li xian 	电力线	c=1 d=1 t=19794
dian liang 	电量	c=1 d=1 t=49522
dian lv 	电驴	c=0 d=0.1 t=45296
dian nao 	电脑	c=53 d=1.00355 t=78949
dian rong 	电容	c=1 d=6.74024e-07 t=17463
dian shang 	点上	c=1 d=1.6019e-14 t=17463
dian shi 	电视	c=5 d=1 t=36261
dian shi qing 	点事情	c=1 d=1.57425e-15 t=17463
dian ti kou 	电梯口	c=1 d=4.05369e-25 t=17463
dian wan cheng 	电玩城	c=1 d=1 t=26585
dian wo 	点我	c=1 d=4.76855e-24 t=17463
dian wo 	电我	c=1 d=1 t=45696
dian xin 	电信	c=17 d=1 t=64746
dian xing 	典型	c=3 d=1 t=64747
dian ya 	电压	c=1 d=1 t=58115
dian yi 	点一	c=0 d=0.1 t=62704
dian yi bei 	电一杯	c=1 d=1 t=26255
dian yi ci 	点一次	c=1 d=0.000930303 t=17463
dian yi fen 	点一份	c=1 d=1 t=62705
dian yi ge 	点一个	c=2 d=1 t=77948
dian ying 	电影	c=5 d=1 t=55632
dian yuan 	电源	c=4 d=1.95336e-06 t=17463
dian zi 	电子	c=3 d=1 t=53021
dian zi shu 	电子书	c=1 d=1 t=24024
diao 	掉	c=15 d=1.00003 t=66114
diao 	调	c=1 d=0.163654 t=17463
diao bo dan 	调拨单	c=1 d=1 t=75368
diao cha 	调查	c=55 d=5.07665 t=46602
diao chao 	掉超	c=1 d=1 t=46597
diao chu 	调出	c=2 d=1 t=76233
diao du 	调度	c=2 d=1 t=73904
diao huan 	调换	c=1 d=1 t=72310
diao tou fa 	掉头发	c=1 d=0.10684 t=39396
diao tu 	调图	c=1 d=2.50537e-11 t=17463
diao yong 	调用	c=119 d=2.38678 t=76816
diao yong na ge 	调用那个	c=2 d=1 t=71886
diao yong zhe 	调用者	c=5 d=1.93373 t=71203
diao zhuan 	调转	c=1 d=1 t=73027
die 	蝶	c=1 d=1 t=39928
die dai qi 	迭代器	c=1 d=1 t=54144
die jia 	叠加	c=1 d=1 t=62614
die luo han 	叠罗汉	c=1 d=1 t=41712
die xue 	喋血	c=1 d=1 t=73698
ding 	定	c=3 d=1 t=76368
ding 	钉	c=1 d=1 t=76369
ding bao 	顶包	c=1 d=1 t=24954
ding bu 	顶不	c=0 d=0.1 t=24291
ding bu 	顶部	c=2 d=1 t=19519
ding bu le 	顶不了	c=1 d=1 t=24292
ding chang 	定场	c=1 d=1 t=63235
ding dan 	订单	c=8 d=2.05477 t=62699
ding de 	定地	c=1 d=6.51617e-21 t=17463
ding ding 	钉钉	c=4 d=3.5081 t=74965
ding ding ding ding 	顶顶顶顶	c=0 d=0.114515 t=18869
ding dong 	叮咚	c=1 d=1 t=67449
ding hao 	订好	c=0 d=0.1 t=75936
ding hao le 	订好了	c=1 d=1 t=75937
ding jia 	定价	c=4 d=1.00001 t=31181
ding liang fen kuai 	定量分块	c=0 d=0.1 t=24739
ding pin 	定频	c=1 d=1 t=21799
ding qi 	定期	c=3 d=2.02244 t=27591
ding shen fa 	定身法	c=4 d=1 t=52520
ding shen fa da fa dui fang 	定身法大法对方	c=1 d=1 t=46717
ding shen fa dui fang 	定身法对方	c=1 d=1 t=46743
ding shi 	定时	c=2 d=1 t=47294
ding shi qi 	定时器	c=2 d=1.98511 t=22159
ding wei 	定为	c=1 d=1 t=63797
ding wei 	定位	c=2 d=0.000645852 t=17463
ding xiang 	定向	c=0 d=3.9489e-12 t=17463
ding yi 	定一	c=1 d=1 t=28404
ding yi 	定义	c=104 d=1.7266 t=73394
ding yi de 	定义的	c=2 d=1 t=53294
ding yi dui xiang 	定义对象	c=1 d=1 t=59708
ding yi ge 	定一个	c=6 d=1.04307 t=70618
ding yi le 	定义了	c=7 d=1.10114 t=59785
ding yi xia 	顶一下	c=1 d=2.41501e-20 t=17463
ding yi yi ge 	定义一个	c=1 d=1 t=70271
ding yi zi ji 	定义自己	c=1 d=1 t=64509
ding yue 	订阅	c=13 d=9.78232 t=68493
ding yue zhe 	订阅者	c=1 d=1 t=68409
ding zhi 	定制	c=6 d=1 t=71571
ding zi 	钉子	c=1 d=7.40542e-26 t=17463
diu 	丢	c=1 d=1 t=77057
diu le 	丢了	c=1 d=1 t=19297
diu shi 	丢失	c=6 d=1 t=74885
diu shi fa ding shen fen 	丢失法定身份	c=1 d=0.0184997 t=17463
dong 	动	c=1 d=0.1 t=34106
dong 	懂	c=4 d=1 t=66225
dong 	董	c=1 d=0.00568457 t=17463
dong bu 	东部	c=0 d=3.50057e-06 t=17463
dong che 	动车	c=0 d=9.97047e-26 t=17463
dong ci 	动词	c=1 d=1 t=72299
dong dong 	东东	c=1 d=1 t=16864
dong e 	东阿	c=0 d=0.1 t=38942
dong fa shou fa 	懂法守法	c=0 d=0.1 t=43220
dong fang 	东方	c=2 d=1 t=18553
dong fang lu 	东方路	c=1 d=0.1 t=72814
dong ge 	栋哥	c=1 d=1 t=26149
dong guo 	动过	c=1 d=1 t=27964
dong hua 	动画	c=3 d=1 t=53849
dong ji 	冬季	c=1 d=1 t=15947
dong jia 	东家	c=1 d=1 t=27330
dong jie 	冻结	c=1 d=1 t=75574
dong jing 	东京	c=1 d=1 t=42860
dong jing 	动静	c=1 d=1 t=22006
dong jing fen li 	动静分离	c=0 d=5.35153e-29 t=17463
dong jing re 	东京热	c=1 d=1.07101e-13 t=17463
dong le 	懂了	c=2 d=1 t=78114
dong li 	动力	c=3 d=1 t=74036
dong lu 	东路	c=2 d=1 t=45515
dong ming lu 	东明路	c=1 d=1 t=41890
dong shou 	动手	c=1 d=1 t=22040
dong si 	冻死	c=2 d=0.0228322 t=17463
dong tai 	动态	c=61 d=1.31504 t=75372
dong tai bi zhi 	动态壁纸	c=1 d=1 t=54071
dong tai de 	动态的	c=4 d=1.83947 t=64671
dong tai xian shi 	动态显示	c=1 d=1 t=44027
dong tao 	董涛	c=35 d=2.06515 t=79848
dong ti 	胴体	c=0 d=0.1 t=70326
dong ti a 	胴体啊	c=1 d=1 t=70327
dong tian 	冬天	c=1 d=1.50109e-14 t=17463
dong xi 	东西	c=41 d=1.00004 t=79870
dong xi de 	东西的	c=1 d=1 t=34200
dong zhi 	东芝	c=1 d=8.19009e-05 t=17463
dong zuo 	动作	c=6 d=1 t=71365
dou 	豆	c=3 d=1.40455 t=48458
dou 	都	c=91 d=1.0841 t=79489
