# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
hua mian 	画面	c=25 d=0.0357931 t=15081
hua mian de 	画面的	c=1 d=6.10817e-25 t=15081
hua shao dian 	话少点	c=1 d=4.8273e-21 t=15081
hua shuo 	华硕	c=1 d=2.23784e-06 t=15081
hua shuo 	话说	c=2 d=2.22668e-06 t=15081
hua wei 	华为	c=2 d=1.87757e-11 t=15081
huai chu 	坏处	c=1 d=1.38927e-15 t=15081
huai li 	怀里	c=1 d=7.37625e-09 t=15081
huai shi 	坏事	c=1 d=1.34148e-15 t=15081
huai te dao 	怀特岛	c=0 d=0.0010358 t=15081
huai yi 	怀疑	c=1 d=4.63486e-13 t=15081
huan 	换	c=7 d=0.232239 t=15081
huan 	还	c=37 d=0.352283 t=15081
huan bu shi 	还不是	c=1 d=2.43339e-21 t=15081
huan cun 	缓存	c=30 d=1.69277 t=15081
huan ge 	换个	c=4 d=8.04949e-11 t=15081
huan gou 	换购	c=1 d=1 t=14482
huan hao 	换号	c=1 d=2.16455e-26 t=15081
huan hao 	还好	c=3 d=4.29746e-18 t=15081
huan jing 	环境	c=11 d=0.329052 t=15081
huan ke yi 	还可以	c=3 d=0.00013376 t=15081
huan kuan 	还款	c=1 d=1.3408e-09 t=15081
huan mei 	还没	c=2 d=2.64634e-11 t=15081
huan mei you 	还没有	c=3 d=0.67032 t=15081
huan neng 	还能	c=3 d=1.517e-05 t=15081
huan neng yong 	还能用	c=1 d=0.000144823 t=15081
huan qing 	还请	c=1 d=2.37089e-09 t=15081
huan sheng 	还剩	c=1 d=1.06401e-24 t=15081
huan shi 	环视	c=1 d=1.95384e-27 t=15081
huan shi 	还是	c=19 d=0.165299 t=15081
huan shi zai 	还是在	c=1 d=2.67272e-07 t=15081
huan suan 	换算	c=1 d=0.0987662 t=15081
huan xiang 	还想	c=1 d=0.0531307 t=15081
huan xu yao 	还需要	c=1 d=3.21805e-15 t=15081
huan yao 	还要	c=9 d=0.369965 t=15081
huan yao you 	还要有	c=1 d=2.83307e-16 t=15081
huan yi ge 	换一个	c=1 d=8.38573e-18 t=15081
huan yi zhong 	换一种	c=1 d=4.12925e-07 t=15081
huan ying 	欢迎	c=1 d=0.031117 t=15081
huan yong 	换用	c=1 d=1.54176e-05 t=15081
huan you 	还有	c=9 d=0.188255 t=15081
huan you ren 	还有人	c=1 d=3.14833e-22 t=15081
huan yuan 	还原	c=2 d=3.89143e-15 t=15081
huan zai 	换在	c=0 d=2.2351e-22 t=15081
huan zai 	还在	c=1 d=1 t=13840
huan zao 	换早	c=1 d=5.89708e-23 t=15081
huang gong wang 	黄公望	c=0 d=1.09076e-23 t=15081
huang jin 	黄金	c=1 d=3.54238e-27 t=15081
hui 	会	c=25 d=0.859545 t=15081
hui 	回	c=3 d=1.28001e-20 t=15081
hui bu hui 	会不会	c=4 d=0.00608885 t=15081
hui bu lai 	回不来	c=1 d=2.89581e-09 t=15081
hui bu qu 	回不去	c=1 d=3.2175e-13 t=15081
hui che 	回车	c=1 d=9.49581e-10 t=15081
hui chi 	会吃	c=1 d=0.559898 t=15081
hui chu 	汇出	c=14 d=1.02063e-08 t=15081
hui da 	回答	c=1 d=3.51322e-18 t=15081
hui dao zhi 	会导致	c=1 d=1 t=14961
hui de 	会的	c=0 d=8.75502e-26 t=15081
hui fu 	恢复	c=3 d=1.21717e-18 t=15081
hui gei 	会给	c=2 d=3.66238e-26 t=15081
hui gei ni 	会给你	c=1 d=1.55726e-05 t=15081
hui guo qu 	会过去	c=1 d=1.50784e-08 t=15081
hui hao 	会好	c=0 d=1.30814e-14 t=15081
hui hao yi dian 	会好一点	c=1 d=1.3147e-13 t=15081
hui hen 	会很	c=0 d=3.4088e-17 t=15081
hui hen lei 	会很类	c=1 d=3.42589e-16 t=15081
hui jia 	回家	c=2 d=0.0175975 t=15081
hui kou 	回口	c=0 d=5.07048e-12 t=15081
hui kou xue 	回口血	c=1 d=5.0959e-11 t=15081
hui kuan 	汇款	c=18 d=0.0105145 t=15081
hui kuan xin xi 	汇款信息	c=1 d=3.48845e-23 t=15081
hui lai 	回来	c=8 d=0.00440507 t=15081
hui lai le 	回来了	c=1 d=6.85865e-06 t=15081
hui lv 	汇率	c=2 d=0.0986677 t=15081
hui na 	会哪	c=1 d=5.40347e-24 t=15081
hui ne 	会呢	c=1 d=1 t=13030
hui qu 	回去	c=25 d=0.688185 t=15081
hui qu le 	回去了	c=8 d=0.571209 t=15081
hui qu ne 	回去呢	c=1 d=1 t=14980
hui ru 	汇入	c=5 d=0.0104621 t=15081
hui ru hui kuan 	汇入汇款	c=3 d=1.65909e-11 t=15081
hui sa 	挥洒	c=0 d=0.00103063 t=15081
hui shi 	回事	c=0 d=0.1 t=14578
hui shi wang 	会失望	c=1 d=5.49746e-21 t=15081
hui shi zai 	会是在	c=0 d=1.24561e-26 t=15081
hui shou 	回收	c=1 d=0.000623601 t=15081
hui su 	回溯	c=1 d=0.00078095 t=15081
hui tou ke 	回头客	c=1 d=1.03116e-08 t=15081
hui tui 	回退	c=4 d=0.0107169 t=15081
hui wan 	会玩	c=0 d=7.74628e-27 t=15081
hui wei 	会为	c=1 d=1 t=14875
hui you 	会有	c=2 d=2.60044e-08 t=15081
hui you na me 	会有那么	c=1 d=1.33248e-24 t=15081
hui you ren 	会有人	c=1 d=2.39016e-16 t=15081
hui you yi ge 	会有一个	c=1 d=4.68622e-25 t=15081
hui yuan 	会员	c=2 d=2.6157e-18 t=15081
hui zu 	回族	c=1 d=5.70996e-26 t=15081
hun 	混	c=1 d=3.60338e-22 t=15081
huo 	或	c=1 d=2.81214e-17 t=15081
huo 	活	c=1 d=8.34959e-26 t=15081
huo 	货	c=2 d=9.85783e-09 t=15081
huo che 	火车	c=1 d=1.6141e-15 t=15081
huo che zhan 	火车站	c=1 d=1.42003e-08 t=15081
huo de 	获得	c=0 d=1.59061e-20 t=15081
huo dong 	活动	c=2 d=6.27047e-10 t=15081
huo guo 	火锅	c=3 d=0.0515605 t=15081
huo hu 	火狐	c=3 d=0.0101402 t=15081
huo qu 	获取	c=89 d=1.57294 t=15081
huo qu dao 	获取到	c=1 d=1 t=13810
huo qu de 	获取的	c=1 d=0.418952 t=15081
huo xu 	或许	c=2 d=4.02153e-18 t=15081
huo zhe 	或者	c=6 d=0.00745575 t=15081
huo zhe 	活着	c=1 d=1 t=14419
ji 	几	c=1 d=4.63328e-09 t=15081
ji 	及	c=6 d=0.00195189 t=15081
ji 	寄	c=1 d=6.42811e-08 t=15081
ji 	急	c=3 d=0.000116223 t=15081
ji 	机	c=1 d=1.38856e-09 t=15081
ji 	级	c=3 d=4.82628e-07 t=15081
ji ba 	几把	c=0 d=0.000318278 t=15081
ji ben 	几本	c=1 d=2.27514e-24 t=15081
ji ben 	基本	c=8 d=0.755784 t=15081
ji bu qing chu 	记不清楚	c=1 d=7.1495e-24 t=15081
ji cheng 	继承	c=3 d=2.63929e-06 t=15081
ji cheng 	集成	c=1 d=1.08178e-13 t=15081
ji chou 	记仇	c=1 d=6.75654e-06 t=15081
ji chu 	基础	c=5 d=0.00184645 t=15081
ji ci 	几次	c=2 d=0.00194986 t=15081
ji dan 	鸡蛋	c=1 d=8.07365e-13 t=15081
ji de 	寄的	c=0 d=0.1 t=13066
ji de 	记得	c=5 d=0.511714 t=15081
ji de shi hou 	寄的时候	c=1 d=1 t=13067
ji dian 	几点	c=7 d=3.53532e-09 t=15081
ji dian lai 	几点来	c=1 d=1.36905e-19 t=15081
ji fu 	肌肤	c=1 d=4.33713e-26 t=15081
ji fu luo si 	基辅罗斯	c=0 d=0.1 t=14771
ji ge 	几个	c=6 d=0.0550232 t=15081
ji ge qian 	几个钱	c=1 d=0.690734 t=15081
ji guo lai 	寄过来	c=2 d=0.014122 t=15081
ji guo qu 	寄过去	c=1 d=3.53936e-17 t=15081
ji hao 	几号	c=2 d=3.84015e-07 t=15081
ji he 	集合	c=62 d=0.782596 t=15081
ji he zhong 	集合中	c=1 d=1 t=14129
ji hua 	计划	c=4 d=8.55129e-09 t=15081
ji hui 	机会	c=1 d=1.6275e-24 t=15081
ji huo 	激活	c=2 d=6.25989e-27 t=15081
ji huo ma 	激活码	c=1 d=5.25825e-27 t=15081
ji jin 	基金	c=1 d=3.35224e-25 t=15081
ji kuai di 	寄快递	c=1 d=7.21153e-08 t=15081
ji le 	寄了	c=1 d=6.46387e-08 t=15081
ji le mei 	寄了没	c=1 d=3.51023e-08 t=15081
ji lei 	基类	c=1 d=0.00032882 t=15081
ji li shou duan 	激励手段	c=0 d=0.1 t=14936
ji li shou duan fu jian sheng 	激励手段福建省	c=1 d=1 t=14937
ji lu 	记录	c=4 d=4.46774e-22 t=15081
ji mao qian 	几毛钱	c=2 d=1.03865e-05 t=15081
ji nian 	几年	c=1 d=6.75884e-10 t=15081
ji piao 	机票	c=1 d=1.15683e-08 t=15081
ji qi 	机器	c=1 d=1.28643e-22 t=15081
ji qian 	几千	c=0 d=3.06799e-13 t=15081
ji qian ye 	几千页	c=1 d=3.08336e-12 t=15081
ji ran 	既然	c=1 d=9.93796e-16 t=15081
ji rou 	肌肉	c=1 d=2.74841e-12 t=15081
ji sha ma 	急啥嘛	c=1 d=8.7732e-20 t=15081
ji shi 	急事	c=0 d=2.2106e-10 t=15081
ji shi 	集市	c=0 d=1.32426e-11 t=15081
ji shi ben 	记事本	c=1 d=0.000219315 t=15081
ji shu de 	技术的	c=0 d=5.54215e-29 t=15081
ji suan 	计算	c=2 d=1.55725e-15 t=15081
ji suan ji 	计算机	c=3 d=0.00634556 t=15081
ji suan qi 	计算器	c=1 d=1.23259e-19 t=15081
ji wan 	几万	c=1 d=2.10931e-16 t=15081
ji wei 	几位	c=1 d=1 t=13592
ji wu duan 	机务段	c=0 d=0.1 t=15074
ji xian 	集显	c=1 d=1.00796e-05 t=15081
ji xiang 	机箱	c=1 d=6.25534e-11 t=15081
ji xie 	机械	c=1 d=0.00166156 t=15081
ji xu 	继续	c=6 d=0.0593563 t=15081
ji yu 	基于	c=3 d=2.42361e-20 t=15081
ji zai 	记载	c=1 d=0.247833 t=15081
ji zhang 	几张	c=1 d=1.63821e-13 t=15081
ji zhang 	记账	c=5 d=1.61948e-21 t=15081
ji zhe 	急着	c=0 d=1.47011e-05 t=15081
ji zhen 	几针	c=1 d=0.0156076 t=15081
ji zhi 	机制	c=4 d=0.0389081 t=15081
jia 	加	c=5 d=0.0089163 t=15081
jia 	夹	c=1 d=7.52714e-08 t=15081
jia an lin 	甲胺磷	c=0 d=5.71093e-29 t=15081
jia an lin jiao lv bu an lu gang ke ji 	甲胺磷焦虑不安鹿港科技	c=1 d=5.73956e-28 t=15081
jia ban 	加班	c=3 d=3.58922e-25 t=15081
jia bao 	加保	c=2 d=1.5106e-20 t=15081
jia ben 	甲苯	c=1 d=7.16191e-15 t=15081
jia cu 	加粗	c=1 d=4.50722e-08 t=15081
jia ge 	价格	c=2 d=4.54162e-18 t=15081
jia li 	家里	c=2 d=0.000471307 t=15081
jia mi 	加密	c=2 d=1.13686e-09 t=15081
jia shang 	加上	c=1 d=1 t=13197
jia su 	加速	c=2 d=1.54525e-23 t=15081
jia you 	加油	c=7 d=0.0295994 t=15081
jia zai 	加载	c=16 d=1.71394 t=15081
jian 	件	c=0 d=4.40807e-12 t=15081
jian 	剪	c=1 d=1.02441e-19 t=15081
jian 	见	c=1 d=0.0294518 t=15081
jian ce 	检测	c=4 d=2.28323e-06 t=15081
jian cha 	检查	c=1 d=9.62917e-27 t=15081
jian cheng 	简称	c=1 d=1 t=14000
jian dan 	简单	c=2 d=0.366045 t=15081
jian dao ni 	见到你	c=1 d=5.47005e-21 t=15081
jian duan 	简短	c=1 d=1.01422e-19 t=15081
jian fei 	减肥	c=3 d=0.858925 t=15081
jian ge 	剪个	c=0 d=0.00685632 t=15081
jian ge tou fa 	剪个头发	c=1 d=0.0689068 t=15081
jian hang 	建行	c=2 d=1.97754e-07 t=15081
jian kong 	监控	c=1 d=0.000636198 t=15081
jian mao 	键帽	c=1 d=9.53174e-25 t=15081
jian mian 	见面	c=2 d=9.86182e-06 t=15081
jian ni 	见你	c=1 d=6.81842e-25 t=15081
jian pan 	键盘	c=5 d=0.00140882 t=15081
jian pin 	简拼	c=1 d=5.56425e-16 t=15081
jian rong 	兼容	c=1 d=4.63802e-21 t=15081
jian rong xing 	兼容性	c=1 d=2.32917e-06 t=15081
jian shao 	减少	c=1 d=2.19465e-12 t=15081
jian shen 	健身	c=2 d=2.79316e-13 t=15081
jian shen fang 	健身房	c=0 d=0.1 t=15075
jian shen fang ke long ji shu 	健身房克隆技术	c=1 d=1 t=15076
jian shu 	件数	c=2 d=1.50595e-15 t=15081
jian suo 	检索	c=1 d=3.97829e-10 t=15081
jian tou 	箭头	c=1 d=4.88677e-18 t=15081
jian tou fa 	剪头发	c=0 d=8.90579e-21 t=15081
jian wai 	见外	c=0 d=1.29645e-26 t=15081
jian wai la 	见外啦	c=1 d=1.30295e-25 t=15081
jian yi 	减一	c=1 d=1.43577e-20 t=15081
jian yu yuan zheng 	剑与远征	c=1 d=6.97298e-24 t=15081
jian yue 	简约	c=4 d=5.59949e-15 t=15081
jian zhi 	兼职	c=1 d=6.06305e-26 t=15081
jian zhi 	简直	c=1 d=6.03281e-26 t=15081
jian zhi dui 	键值对	c=1 d=1.73591e-18 t=15081
jiang 	奖	c=1 d=4.02935e-28 t=15081
jiang 	将	c=30 d=1.29052 t=15081
jiang bei 	奖杯	c=1 d=3.65026e-27 t=15081
jiang bi 	将比	c=0 d=1.57725e-09 t=15081
jiang bi zhong 	将比中	c=1 d=1.58515e-08 t=15081
jiang fan hui 	将返回	c=1 d=2.61935e-05 t=15081
jiang la sheng de ji fen 	将拉升的积分	c=1 d=1 t=14945
jiang la su 	姜辣素	c=0 d=2.2456e-14 t=15081
jiang li 	奖励	c=3 d=1.31498e-27 t=15081
jiang luo 	降落	c=1 d=0.00054485 t=15081
jiang pu 	江浦	c=0 d=5.13732e-19 t=15081
jiang pu gong yuan 	江浦公园	c=1 d=5.16307e-18 t=15081
jiang shu ju 	将数据	c=1 d=0.183599 t=15081
jiang su la 	姜素拉	c=0 d=4.4855e-11 t=15081
jiang wen 	降温	c=1 d=0.000296045 t=15081
jiao 	叫	c=4 d=0.00050296 t=15081
jiao ao 	骄傲	c=0 d=5.54215e-29 t=15081
jiao ao shou dao le fu jin lin ba liu ji shu de fu li 	骄傲受到了附近淋巴瘤技术的福利	c=1 d=5.56993e-28 t=15081
jiao ba ba 	叫爸爸	c=1 d=3.68381e-17 t=15081
jiao ben 	脚本	c=5 d=7.56049e-05 t=15081
jiao bu 	脚步	c=1 d=0.00227676 t=15081
jiao cheng 	教程	c=5 d=5.71404e-05 t=15081
jiao da 	交大	c=1 d=0.00927901 t=15081
jiao dai 	交代	c=1 d=1.38351e-25 t=15081
jiao de 	教的	c=1 d=3.79212e-05 t=15081
jiao dian 	焦点	c=1 d=2.27948e-17 t=15081
jiao gei ni 	交给你	c=1 d=1.44847e-06 t=15081
jiao liao shou kao 	脚镣手铐	c=0 d=0.234148 t=14939
jiao lv bu an 	焦虑不安	c=0 d=5.71093e-29 t=15081
jiao ni 	叫你	c=1 d=6.68113e-21 t=15081
jiao qing 	交情	c=1 d=8.4206e-08 t=15081
jiao sha 	叫啥	c=1 d=3.24587e-28 t=15081
jiao shen me 	叫什么	c=1 d=2.14491e-07 t=15081
jiao wo 	叫我	c=2 d=1.05161e-20 t=15081
jiao wo 	教我	c=1 d=3.02077e-06 t=15081
jiao xun 	教训	c=1 d=0.332871 t=15081
jiao yan 	校验	c=35 d=0.184432 t=15081
jiao yi 	交易	c=2 d=7.64572e-17 t=15081
jiao yi xia 	教一下	c=1 d=3.33608e-27 t=15081
jie 	姐	c=1 d=2.33758e-19 t=15081
jie 	接	c=1 d=2.06754e-16 t=15081
jie 	街	c=1 d=1.6306e-17 t=15081
jie bo 	接驳	c=0 d=1.48408e-28 t=15081
jie chu 	解除	c=1 d=1.49437e-20 t=15081
jie dai 	借贷	c=1 d=1.22857e-10 t=15081
jie dan 	接单	c=1 d=2.41418e-16 t=15081
jie dao 	街道	c=1 d=2.76886e-11 t=15081
jie dian 	节点	c=8 d=0.0106737 t=15081
jie du 	解毒	c=1 d=4.30816e-06 t=15081
jie fang lu 	解放路	c=0 d=8.93036e-24 t=15081
jie ge tu 	截个图	c=1 d=1 t=14319
jie gou 	结构	c=5 d=0.0017635 t=15081
jie guo 	结果	c=14 d=0.0724405 t=15081
jie hun 	结婚	c=4 d=1.33075e-08 t=15081
jie jie 	姐姐	c=1 d=1.30543e-18 t=15081
jie jue 	解决	c=7 d=3.55003e-06 t=15081
jie kou 	接口	c=7 d=0.00390698 t=15081
jie kou she ji 	接口设计	c=0 d=0.1 t=15076
jie kou she ji lian fa ke ji 	接口设计联发科技	c=1 d=1 t=15077
jie le 	借了	c=0 d=8.05144e-11 t=15081
jie li ke 	杰里科	c=0 d=4.4855e-11 t=15081
jie li ke jiang su la da fen jie ling sa ke da ji 	杰里科姜素拉大分界岭萨克达级	c=1 d=4.50799e-10 t=15081
jie ru 	介入	c=0 d=2.79374e-29 t=15081
jie ru 	接入	c=1 d=2.82182e-28 t=15081
jie shao 	介绍	c=3 d=0.00270614 t=15081
jie shi 	解释	c=1 d=7.30162e-07 t=15081
jie shou 	接受	c=1 d=2.18482e-18 t=15081
jie shu 	结束	c=1 d=1.05106e-27 t=15081
jie shu le 	结束了	c=0 d=5.62591e-29 t=15081
jie shu le da fei ji 	结束了打飞机	c=1 d=5.65411e-28 t=15081
jie suan 	结算	c=1 d=9.4581e-22 t=15081
jie suo 	解锁	c=2 d=1.48206e-11 t=15081
jie tu 	截图	c=3 d=0.000435072 t=15081
jie wo 	借我	c=3 d=2.67779e-05 t=15081
jie wo 	接我	c=1 d=3.51931e-09 t=15081
jie ya 	解压	c=2 d=1.78876e-10 t=15081
jie yi 	介意	c=0 d=5.91234e-25 t=15081
jin 	今	c=0 d=2.78321e-14 t=15081
jin 	斤	c=1 d=2.48686e-12 t=15081
jin 	紧	c=1 d=0.00782838 t=15081
jin 	金	c=1 d=7.80127e-21 t=15081
jin bu 	进步	c=1 d=1.90528e-25 t=15081
jin bu qu 	进不去	c=1 d=3.48726e-19 t=15081
jin e 	金额	c=14 d=0.102298 t=15081
jin gang 	金刚	c=0 d=5.00877e-15 t=15081
jin gang chuan 	金刚川	c=1 d=5.03388e-14 t=15081
jin guan 	尽管	c=1 d=1 t=14856
jin guan 	进馆	c=1 d=3.35748e-14 t=15081
jin hou 	今后	c=1 d=4.91895e-07 t=15081
jin huo 	进货	c=1 d=6.26493e-29 t=15081
jin lai le 	进来了	c=1 d=7.18411e-22 t=15081
jin liang shi yong 	尽量使用	c=1 d=9.66099e-07 t=15081
jin nian 	今年	c=7 d=0.0248475 t=15081
jin qu 	进去	c=1 d=2.47783e-28 t=15081
jin qu ba 	进去吧	c=1 d=3.41821e-19 t=15081
jin ri 	今日	c=1 d=2.69536e-18 t=15081
jin rong 	金融	c=1 d=6.93938e-26 t=15081
jin rong lei 	金融类	c=1 d=2.85221e-07 t=15081
jin ru 	进入	c=4 d=0.250341 t=15081
jin shi da 	金仕达	c=0 d=0.1 t=14924
jin tian 	今天	c=29 d=0.727951 t=15081
jin wan 	今晚	c=22 d=0.175779 t=15081
jin xing 	进行	c=11 d=0.00163155 t=15081
jin yong 	禁用	c=2 d=1.82336e-08 t=15081
jin zhi 	禁止	c=1 d=3.8275e-26 t=15081
jin zhi 	进制	c=1 d=6.695e-16 t=15081
jing 	静	c=1 d=0.000468957 t=15081
jing an si 	静安寺	c=0 d=5.43241e-29 t=15081
jing chang 	经常	c=2 d=0.0333201 t=15081
jing dong fang 	京东方	c=0 d=0.00018363 t=15081
jing fang 	警方	c=0 d=1.46932e-28 t=15081
jing gao 	警告	c=1 d=1.14372e-21 t=15081
jing guo 	经过	c=2 d=3.23418e-15 t=15081
jing li 	经历	c=1 d=0.606531 t=15081
jing shang 	经商	c=1 d=5.92966e-29 t=15081
jing shen 	精神	c=1 d=2.30756e-14 t=15081
jing tai 	静态	c=7 d=0.321419 t=15081
jing xiang 	镜像	c=1 d=1.77345e-05 t=15081
jing xiang wen jian 	镜像文件	c=1 d=1.27497e-05 t=15081
jing xing 	惊醒	c=1 d=3.18159e-28 t=15081
jing yan 	经验	c=2 d=9.88835e-07 t=15081
jiu 	久	c=1 d=3.47885e-20 t=15081
jiu 	就	c=24 d=2.0933 t=15081
jiu 	酒	c=4 d=0.238725 t=15081
jiu bu 	就不	c=0 d=0.00248475 t=15081
jiu bu dui 	就不对	c=1 d=0.13332 t=15081
jiu bu hui qu 	就不回去	c=1 d=0.024972 t=15081
jiu bu pa 	就不怕	c=1 d=7.34446e-17 t=15081
jiu bu tai 	就不太	c=1 d=1.75879e-25 t=15081
jiu bu yao 	就不要	c=2 d=8.02114e-13 t=15081
jiu bu yong 	就不用	c=1 d=0.00975476 t=15081
jiu cha 	就差	c=0 d=8.17869e-19 t=15081
jiu cha ge 	就差个	c=1 d=8.21968e-18 t=15081
jiu cou he 	就凑合	c=1 d=7.6812e-15 t=15081
jiu dang 	就当	c=1 d=0.327915 t=15081
jiu dao le 	就到了	c=1 d=0.010889 t=15081
jiu de 	旧的	c=2 d=0.0632924 t=15081
jiu deng yu 	就等于	c=1 d=3.47223e-27 t=15081
jiu dian 	九点	c=1 d=3.53756e-11 t=15081
jiu dian 	酒店	c=1 d=3.51991e-11 t=15081
jiu duan le 	就短了	c=1 d=8.30653e-24 t=15081
jiu fei li ke si 	就菲利克斯	c=1 d=1 t=14784
jiu gei ni 	就给你	c=2 d=6.09068e-10 t=15081
jiu gen 	就跟	c=3 d=2.74309e-16 t=15081
jiu gou le 	就够了	c=1 d=0.000934966 t=15081
jiu guo lai 	就过来	c=1 d=0.806541 t=15081
jiu guo qu 	就过去	c=1 d=0.0337893 t=15081
jiu hao 	就好	c=4 d=5.47778e-08 t=15081
jiu hao le 	就好了	c=6 d=2.24325e-05 t=15081
jiu hui 	就会	c=5 d=0.557212 t=15081
jiu kai shi 	就开始	c=0 d=0.00103063 t=15081
jiu kan ni 	就看你	c=1 d=6.05274e-06 t=15081
jiu ke yi 	就可以	c=4 d=0.0117725 t=15081
jiu ke yi le 	就可以了	c=2 d=5.74659e-13 t=15081
jiu la sa kuai di fei la sa ken de ji fa 	就拉萨快递费拉萨肯德基法	c=1 d=5.05997e-16 t=15081
jiu lai 	就来	c=2 d=2.29605e-14 t=15081
jiu le 	救了	c=1 d=0.657047 t=15081
jiu liang le 	就凉了	c=1 d=3.25092e-15 t=15081
jiu mai 	就买	c=0 d=2.79714e-12 t=15081
jiu mai ge 	就买个	c=1 d=1.14848e-11 t=15081
jiu mai le 	就买了	c=1 d=1.66269e-11 t=15081
jiu mei 	就没	c=0 d=1.1384e-26 t=15081
jiu mei fa 	就没法	c=1 d=0.00355287 t=15081
jiu mei shuo 	就没说	c=1 d=1.14411e-25 t=15081
jiu mei you 	就没有	c=3 d=0.00346515 t=15081
jiu neng 	就能	c=1 d=0.0026852 t=15081
jiu pa 	就怕	c=1 d=1.60993e-14 t=15081
jiu pao 	就跑	c=1 d=8.1759e-14 t=15081
jiu qi lai 	就起来	c=1 d=6.19521e-15 t=15081
jiu qu 	就去	c=1 d=2.27398e-18 t=15081
jiu qu le 	就去了	c=1 d=0.621885 t=15081
jiu shi 	就是	c=23 d=0.407838 t=15081
jiu shi ai 	就是爱	c=0 d=5.56993e-29 t=15081
jiu shi qiong 	就是穷	c=1 d=1.55376e-08 t=15081
jiu shi shi 	就试试	c=2 d=6.07698e-13 t=15081
jiu shi zhe yang 	就是这样	c=1 d=0.278037 t=15081
jiu shui 	就睡	c=4 d=3.81578e-14 t=15081
jiu shui 	酒水	c=1 d=7.02368e-21 t=15081
jiu shui a 	就睡啊	c=1 d=1.1345e-14 t=15081
jiu shuo 	就说	c=1 d=7.10537e-10 t=15081
jiu si diao 	就死掉	c=1 d=0.457007 t=14774
jiu si diao feng le kuai su da ji fu 	就死掉封了快速打击付	c=1 d=1 t=14775
jiu suan le 	就算了	c=1 d=3.39296e-20 t=15081
jiu tui 	就退	c=1 d=4.29704e-05 t=15081
jiu xi xi 	就洗洗	c=1 d=1.22899e-14 t=15081
jiu xia ban 	就下班	c=1 d=1.01491e-27 t=15081
jiu xia qu 	就下去	c=1 d=1.01456e-23 t=15081
jiu xing 	就行	c=16 d=0.96799 t=15081
jiu xing le 	就行了	c=7 d=3.15068e-05 t=15081
jiu yao 	就要	c=7 d=0.666999 t=15081
jiu yi zhang 	就一张	c=1 d=3.16745e-05 t=15081
jiu yong 	就用	c=0 d=6.63064e-21 t=15081
jiu yong ba 	就用吧	c=1 d=1 t=14363
jiu yong de 	就用的	c=1 d=6.66388e-20 t=15081
jiu you 	就有	c=3 d=0.16696 t=15081
jiu zai 	就在	c=2 d=1.16762e-09 t=15081
jiu zan lia 	就咱俩	c=1 d=1 t=13272
jiu zhe 	就这	c=1 d=4.6161e-13 t=15081
jiu zhe lia 	就这俩	c=1 d=4.50876e-12 t=15081
jiu zhe yang 	就这样	c=1 d=0.000193545 t=15081
jiu zheng 	纠正	c=1 d=5.42686e-16 t=15081
jiu zhi dao 	就知道	c=1 d=0.336216 t=15081
jiu zhi dao le 	就知道了	c=1 d=5.55951e-06 t=15081
jiu zhun bei 	就准备	c=1 d=1.63143e-23 t=15081
jiu zou 	就走	c=1 d=4.22357e-08 t=15081
ju 	居	c=1 d=3.6718e-08 t=15081
ju 	据	c=0 d=2.7243e-27 t=15081
ju gao 	举高	c=0 d=3.93736e-07 t=15081
ju gao gao 	举高高	c=1 d=3.9571e-06 t=15081
ju he 	聚合	c=1 d=0.000291637 t=15081
ju hui 	聚会	c=1 d=9.55641e-26 t=15081
ju jia 	居家	c=0 d=0.1 t=14517
ju jia bi bei 	居家必备	c=1 d=1 t=14518
ju ran 	居然	c=4 d=4.37699e-16 t=15081
ju shao li duo 	聚少离多	c=0 d=8.88582e-24 t=15081
ju ti 	具体	c=6 d=0.224156 t=15081
ju zhong 	剧中	c=2 d=1.88831e-08 t=15081
jue 	觉	c=1 d=1.98303e-25 t=15081
jue de 	觉得	c=1 d=2.78227e-09 t=15081
jue dui 	绝对	c=3 d=3.55256e-08 t=15081
jue le 	决了	c=0 d=9.01244e-14 t=15081
jue se 	角色	c=1 d=1 t=14503
jue sheng dian feng 	决胜巅峰	c=0 d=0.00018363 t=15081
jue sheng dian feng lu ka si jing dong fang 	决胜巅峰卢卡斯京东方	c=1 d=0.00184551 t=15081
ka 	卡	c=3 d=1.32189e-11 t=15081
ka fei 	咖啡	c=3 d=1.3445e-12 t=15081
ka fei ji 	咖啡机	c=0 d=4.17867e-27 t=15081
ka fei ji a du li si kao 	咖啡机啊独立思考	c=1 d=5.71093e-28 t=15081
ka la 	卡拉	c=0 d=0.1 t=15080
ka shi da 	卡士达	c=0 d=0.1 t=14941
kai 	凯	c=2 d=6.36415e-08 t=15081
kai 	开	c=5 d=0.336775 t=15081
kai fa 	开发	c=6 d=0.022313 t=15081
kai fa jian she 	开发建设	c=0 d=0.173958 t=15077
kai fa ren wu 	开发任务	c=1 d=3.10525e-07 t=15081
kai fang 	开放	c=3 d=1.39215e-16 t=15081
kai ge 	开个	c=1 d=3.90549e-28 t=15081
kai guan ji 	开关机	c=1 d=1.01229e-26 t=15081
kai ji 	开机	c=5 d=0.145027 t=15081
kai kai 	开开	c=1 d=9.93965e-18 t=15081
kai qi 	开启	c=2 d=0.301194 t=15081
